site_id	device_id	cookie_id	data_installed	channel	source	medium	campaign	platform	country	area	city	ip	device_brand	device_model	os_version	is_his_install	day1_time	day1_pv	day1_is_reg	day1_cart_num	day1_search_num	day1_event_num	day1_detail_num	day1_prod_num	day1_cat1_num	day1_order_num	day1_order_value	day2_time	day2_pv	day2_is_reg	day2_cart_num	day2_search_num	day2_event_num	day2_detail_num	day2_prod_num	day2_cat1_num	day2_order_num	day2_order_value	day3_time	day3_pv	day3_is_reg	day3_cart_num	day3_search_num	day3_event_num	day3_detail_num	day3_prod_num	day3_cat1_num	day3_order_num	day3_order_value	day4_time	day4_pv	day4_is_reg	day4_cart_num	day4_search_num	day4_event_num	day4_detail_num	day4_prod_num	day4_cat1_num	day4_order_num	day4_order_value	day5_time	day5_pv	day5_is_reg	day5_cart_num	day5_search_num	day5_event_num	day5_detail_num	day5_prod_num	day5_cat1_num	day5_order_num	day5_order_value	day6_time	day6_pv	day6_is_reg	day6_cart_num	day6_search_num	day6_event_num	day6_detail_num	day6_prod_num	day6_cat1_num	day6_order_num	day6_order_value	day7_time	day7_pv	day7_is_reg	day7_cart_num	day7_search_num	day7_event_num	day7_detail_num	day7_prod_num	day7_cat1_num	day7_order_num	day7_order_value	day1_3_time	day1_3_pv	day1_3_is_reg	day1_3_cart_num	day1_3_search_num	day1_3_event_num	day1_3_detail_num	day1_3_prod_num	day1_3_cat1_num	day1_3_order_num	day1_3_order_value	day5_7_time	day5_7_pv	day5_7_is_reg	day5_7_cart_num	day5_7_search_num	day5_7_event_num	day5_7_detail_num	day5_7_prod_num	day5_7_cat1_num	day5_7_order_num	day5_7_order_value	purchased_in_8_14	active_in_8_14	activity_half_reduced_8_14	purchased_in_8_90	active_in_84_90
600	323cdec1-61af-47d9-a6f4-1dc95c996f82	46cf8161-eb76-42b2-a47b-723861f9a825	20180609	Google 手动	googleadwords_int	CPI	1384865213_app_gcc_android_ramadan1_uac_0504	android	QA	GCC2	Al Wakrah	178.153.11.130	samsung	SM-J111F	5.1.1	0	1.0	2	0	0	0	2	0	0	0	0	0.0	1.0	0	0	0	0	0	0	0	0	0	0.0	12.0	6	0	0	0	8	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	14.0	8	0	0	0	10	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	e4d9e577-9f1d-44f5-bb20-2dd44c89cc32	46ddbc35-4928-4e52-a702-933d6da5ddd1	20180412	organic	Organic	None	0	android	SA	GCC1	At-Ta If	188.48.235.39	lge	LG-D680	4.4.2	0	6.0	2	0	0	0	15	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	6.0	2	0	0	0	15	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	5a240424-7a69-430d-bfce-0d5c71528889	4723b4c5-c7e1-4904-b90f-be994fbc9b39	20180520	Google 手动	googleadwords_int	CPI	1372956949_app_gcc_android_ramadan1_uac15_0428	android	SA	GCC1	Khulais	178.86.22.211	samsung	GT-I9060I	4.4.4	0	59.0	4	0	0	0	5	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	59.0	4	0	0	0	5	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	61a5d5f3-5171-4104-ad05-c9d4dfe0db6a	472999f3-f1ba-4eee-8ef5-9bb74234c2d6	20180417	Google 手动	googleadwords_int	CPI	1050978842_app_gcc_android_sale_ar_uac_0201	android	SA	GCC1	Riyadh	77.30.214.42	samsung	SM-A720F	7.0	0	0.0	2	0	0	0	1	0	0	0	0	0.0	3.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	3.0	2	0	0	0	1	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	0acdf16d-28de-4f12-bc24-c0bcb4e4a43b	473829fc-2a4e-4565-804b-0311cc3e7147	20180503	Google 手动	googleadwords_int	CPI	1129013986_app_skqu_android_men_en_uac_0314	android	SA	GCC1	Mecca	188.53.212.238	HUAWEI	TRT-L21A	7.0	0	1054.0	67	0	0	5	112	38	27	1	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	1054.0	67	0	0	5	112	38	27	1	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	4d30e283-eb80-4ada-b0e9-70981f27f273	4745b15b-bd70-4e6e-9533-e8d0d2817563	20180529	再营销	Facebook Ads	CPI	Engagement_android_openapp_15day_180125	android	SA	GCC1	Mecca	176.44.211.194	samsung	SM-G900F	6.0.1	0	225.0	5	0	0	0	11	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	225.0	5	0	0	0	11	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	ad68d82d-8d4c-4159-b055-a117dfeec73f	4750e9b8-4a94-43f4-9a6d-a2107b10edff	20180423	Google 手动	googleadwords_int	CPI	999634501_app_gcc_android_display_storage_uac_1129	android	QA	GCC2	Onaiza	178.153.191.113	samsung	SM-G610F	7.0	0	1747.0	124	0	3	14	294	50	27	2	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	1747.0	124	0	3	14	294	50	27	2	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	C49D0B93-F8CB-44B0-BDB7-FAA017EF4AE1	475F00AF-70FB-48D4-9A40-74FA467BB399	20180605	organic	Organic	None	0	ios	SA	GCC1	Ad Dammam	51.223.43.102	0	0	11.3.1	1	370.2440102100383	17	1	1	0	36	6	4	3	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	691.0301749706271	50	0	0	0	81	22	10	2	0	0.0	370.2440102100383	17	1	1	0	36	6	4	3	0	0.0	691.0301749706271	50	0	0	0	81	22	10	2	0	0.0	0	0	1	0	0
600	f531f335-0b98-4160-957f-daa39901fd14	475e2cb6-5357-4679-a4a8-322f2dddd8e4	20180506	Google 手动	googleadwords_int	CPI	1341628724_app_gcc_android_male_uac2_0404	android	SA	GCC1	Riyadh	51.39.48.96	HUAWEI	CAM-L21	6.0	0	265.0	10	1	0	0	13	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	265.0	10	1	0	0	13	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	1	0	0
600	158a9b65-2672-47de-9bbf-49c5168117b8	47622914-aaf5-4a81-b45d-d76248667a87	20180519	再营销	criteo_int	CPI	engage_productview_sa_android	android	SA	GCC1	Jiddah	51.36.123.71	samsung	SM-G610F	7.0	0	1308.0	22	0	0	0	22	0	0	0	0	0.0	113.0	10	0	0	0	27	4	3	2	0	0.0	245.0	10	0	0	0	22	1	1	1	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	165.0	5	0	0	1	10	1	1	1	0	0.0	116.0	7	0	0	0	8	0	0	0	0	0.0	1666.0	42	0	0	0	71	5	4	2	0	0.0	281.0	12	0	0	1	18	1	1	1	0	0.0	0	1	0	0	0
