site_id,device_id,cookie_id,data_installed,channel,source,medium,campaign,platform,country,area,city,ip,device_brand,device_model,os_version,is_his_install,active_in_8_14_label,active_in_8_14_probability,active_in_84_90_label,active_in_84_90_probability,activity_half_reduced_8_14_label,activity_half_reduced_8_14_probability
600,1A201215-9675-4124-808A-AB10305AA47A,JA9BBFD3-1FDC-44E1-843F-F9C3C9BDD7FC,20180424,Facebook 智能,Facebook Ads,CPI,appauto_2708_audience_network_LB_male_ios_iPhone_age18-65_interest_landingpage_28_Carousel_20180423_110254_plan-145_detail-698_cpi_new_image,ios,LB,GCC1,Beirut,213.204.64.26,0,0,11.2.6,0,0,0.9310721365392297,0,0.07980392156862745,1,0.06892786346077041
600,BB10CFC9-D674-4CAD-AA13-C2C4933BEA04,JAA589A1-9A30-4215-A3A9-857B4D87E992,20180601,DSP 代投,glispa_int,CPI,JollyChic_CD54032_8271,ios,KW,GCC2,Jalib Ash Shuyukh,94.129.157.85,0,0,11.3.1,0,0,0.6337751059905199,0,0.010150375939849625,1,0.3662248940094799
600,DD2160AB-C1A2-479E-B1B5-334AB380099A,JAAB5F7A-8211-4149-98F0-2589506580BB,20180401,DSP 代投,mobuppagency,CPI,3641_2256,ios,SA,GCC1,Mecca,151.255.9.181,0,0,10.3.3,0,0,0.2231540589607662,1,0.04911241282269462,1,0.776845941039234
600,D2406A68-CDCB-4152-A5A1-C735F053AA66,JAB3388B-3C7D-4BD7-BC62-3C1F93E5A72F,20180411,Google 手动,googleadwords_int,CPI,1071698599_app_sa_ios_display_uac_0228,ios,SA,GCC1,Riyadh,93.169.70.94,0,0,11.0.2,0,1,0.7617712306305426,0,0.04361733630678552,0,0.2382287693694569
600,94C50A29-40AA-41C7-BC20-2277A5D48FF4,JAB53C22-EDAC-4BF1-B4C4-B202A0A10403,20180417,Media Buy 代投,Facebook Ads,CPI,CM_jollymb_ios_jo_female_2.2_180409,ios,JO,GCC1,Bait Yafa,188.247.75.153,0,0,11.0,0,0,0.18316220625744598,0,0.0018783668901585088,1,0.816837793742554
600,AC100FDF-9E7D-4389-86FF-BFE2782BC631,JAC1A69A-A2A0-4DB2-963B-10A0F460AE5F,20180601,Media Buy 代投,Facebook Ads,CPI,Karson_jollymb_gcc_sa_ios_male_2,ios,SA,GCC1,Mecca,51.253.237.106,0,0,11.3.1,0,1,0.2239354629647558,0,0.0053780402068331025,0,0.7760645370352439
600,1750851D-2738-4ABB-893F-4FCA9713E614,JAC6C3CB-C758-4098-9A0A-D2FE7A284CEA,20180403,DSP 代投,creativeclicks_int,CPI,800266_121_136_224_091_19_381c88049a5ed17cd3b13,ios,AE,GCC2,Al Shuwaiheen,5.107.191.22,0,0,10.0.2,0,0,0.07198471873446634,0,0.0020081389706502143,1,0.9280152812655333
600,49252557-FB26-4FE9-A782-55F12096A4B1,JAC6C6DF-2A4A-4E27-8FA0-4828F6F7A08E,20180410,DSP 代投,mobvista_int,CPI,jollychic_ios_ae_mob6a524b49f06ce014,ios,AE,GCC2,Theeb,94.59.213.153,0,0,10.0.3,0,0,0.15733953379529966,0,0.01863195095727463,1,0.8426604662047003
600,E857FC7D-AF36-4254-83C6-1F6B71A4CBCE,JAC7CE57-F211-4CA5-96DA-854BFC1713F9,20180403,Google 手动,googleadwords_int,CPI,1037189670_app_gcc_ios_display_female_uac_0112,ios,JO,GCC1,Irbid,188.247.72.70,0,0,11.2.5,0,0,0.18316220625744598,0,0.0018783668901585088,1,0.816837793742554
600,AB1CA66C-E9CB-4D54-9091-8E8326D4357C,JAC83DF1-FCAA-4E66-A2C7-8CE1B600F277,20180421,snapchat,snapchat_int,CPI,Branding Ads_AE_Yeah_Dress_1,ios,AE,GCC2,Al Falah City,92.99.52.71,0,0,11.2.6,0,1,0.3794502436516916,0,0.02884378397672011,0,0.6205497563483084
600,B5BE0D1B-EB9D-4BBA-BD49-3CFCADCAE0B1,JACB16A9-EB87-4C92-83AA-EB6E6971F2CF,20180424,Google 手动,googleadwords_int,CPI,970853433_app_me_ios_display_entxt_uac_1101,ios,SA,GCC1,Al-Madinah,176.225.89.98,0,0,11.2,0,0,0.3105082852608646,0,0.010818478535227816,1,0.6894917147391354
600,72D73FE8-5C47-4980-8857-55C1C705D526,JAF2FEEC-AFF9-435E-99A5-0900980ECDB4,20180412,Media Buy 代投,Facebook Ads,CPI,LM_JOLLYMB_IOS_J9_KW_MALE,ios,KW,GCC2,As Salimiyah,37.231.224.175,0,0,11.3,0,0,0.20515474855993537,0,0.024036333689085535,1,0.7948452514400647
